Nome da Música,Nome do Artista,Ano de Lançamento,Gênero Musical,Letra da Música,Playlist
MANDRAKA DO MOMENTO,Kyan,2024,Trap,"Uh

A uns cinco metros avistei uma bunda gigante
Pior que a gatona tava de frente
Marquinha e tatuagem
Piercing na língua, sorriso indecente (uh)
Já logo bateu no meu ponto fraco (uh)
As ideia até que foi batendo (aham)
Combinando até no nossos kits
O preto de Gucci e você de Fendi
Preta, bonita, toda enjoadinha
Que tem o cabelo cacheado
Já admirava olhando de longe
Logo virei fã depois de ver no meu quarto, baby

Unha decorada, ela tinha aquela marquinha
Do momento, a mais cobiçada, várias nela se inspira
Tipo Bonnie e Clyde da quebrada (aham)
Capa de revista, a minha mandraka (aham)
Se eu tô no toque, ela é mochila
Sem cap, radar e mão na placa
Se pá que eu fiquei pensativo
Mó fita, mó parada
Depois que terminei de falar
Os truta do lado deu até risada (ah)

Sem entender o que tá acontecendo
Não sai do meu pensamento
Ela é outro patamar
Mandraka do momento

Sem entender o que tá acontecendo
Não sai do meu pensamento
Ela é outro patamar (yay)
Mandraka do momento

E dá seu trampo, não precisa de ninguém
Ela puxa o bonde, faz seu corre, fecha camarote
Chama as amiga que hoje a mandraka se solta
E já faz uma cota que eu tô pousado
Deixei vários like, reagi aos story
Mandei várias embora pra ver se cê me nota
E agora a mandraka não sai da minha bota
E eu acho que a gente se combina
Tipo Red no uísque, Arlequina e Coringa
E enquanto a fumaça vai subindo
A mandraka vai se despindo
Do jeito que cê me olha, eu não vou ter paz

Unha francesinha no dedo
Cuida da sua pele, do corpo, gasta com o cabelo
Quando usa o batom vermelho
Gostosa, se exibe excitada na frente do espelho
Sensual e santa na mesma medida
Confesso: No seu rebolado fiquei

Sem entender o que tá acontecendo
Não sai do meu pensamento
Ela é outro patamar
Mandraka do momento

Sem entender o que tá acontecendo
Não sai do meu pensamento
Ela é outro patamar
Mandraka do momento

Tem coisas que eu vejo que nem ela repara
Mata além do desejo sem esboçar na sua cara
Quer o limite, quer todo o meu êxito
Se não pra ela não é nada
Parceiros de crime, não podemos ser presos
Não posso dar mancada
Engraçado como relaxa quando segura na minha mão
Como as ideias se alinham, no final, é a mesma direção
Talvez fique a dúvida de quem é a razão e emoção
E resolvemos todos os problemas no meu colchão

Sem entender o que tá acontecendo
Não sai do meu pensamento
Ela é outro patamar
Mandraka do momento

Sem entender o que tá acontecendo
Não sai do meu pensamento
Ela é outro patamar
Mandraka do momento",Trapperz Brasil
24hrs,Ebony,2024,Trap,"Foda-se esse bofe
Manda avisar que eu tô focadona
Com três celulares
Um eu uso só pra mandar fotos
Eu não tô sedenta
Modo avião pra não ver agora
Tá com o saco azul
Eu não respondo a 24 horas

Quer me rastrear ele pediu minha loc
Bofe sem GPS dentro da minha vagina
Ele é falso e mentiroso vou chamar de Loki
O que eu tenho de rima ele não tem pista

Não insista
Não é dinheiro eu me banco pago tudo à vista
É sobre tu ter meus filhos, dividir uma vida
É sobre ficar quebrado e dividir a dívida
É sobre tu querer agora e me mandar um me liga

Eu fazendo o meu bronze lá na praia de Ipa
Me chamando pra piar de Uber em Curicica
Que issa?
Me senti pagando caro por migalhas de pica
Maior pose de rico e ainda bebe água da bica

Agora não dá tenta de novo quando eu for rica
Bofe com energia de pior do que tá não fica
Tô cansada de acordar sem compras na minha cozinha
Se quiser me comer melhor tu trazer tua marmita

Foda se esse bofe manda avisar que eu focadona
Com três celulares um eu uso só pra mandar fotos
Eu não tô sedenta modo avião pra não ver agora
Tá com o saco azul eu não respondo a 24 horas

Quer me rastrear ele pediu minha loc
Bofe sem GPS dentro da minha vagina
Ele é falso e mentiroso vou chamar de loki
O que eu tenho de rima ele não tem pista

Foda se esse bofe manda avisar que eu focadona
Com três celulares um eu uso só pra mandar fotos
Eu não tô sedenta modo avião pra não ver agora
Tá com o saco azul eu não respondo a 24 horas",Trapperz Brasil
Atlanta - Spotify Singles,Duquesa,2023,Trap,"Yeah, esse é meu big mood
Cheia de ouro no corpo
Eu me sinto elegante
Oh, é
Olha meu corpo grande
Tudo que eu gosto é grande
Meu jeito é ignorante
Oh-oh
Todo dia agora vai ser um novo gol, uô
Eu sempre me transformo enquanto cai a noite
Ele não precisa de outra, eu troco a lace
A de cacho é fiel e a ruiva é amante
Caralho, ai, calica, eu adoro essa vida
Sobe nota, me atiça, sobe nota, me atiça
Ai, caralho, ai, calica, eu adoro essa vida
Sobe nota, me atiça, sobe nota, me atiça
Fama não me faz melhor, que antes eu já era foda
Antes já era bonita antes, agora tô sendo vista
Que se foda a marca cara, agora sou a marca cara
A grana que eu tomo de volta não devolvo pra racista
Se eu fosse esses cara, assistia Corra!
Não me iludo com essas merda, eu assisti Atlanta
Essas puta burra sempre querem ser as malvadas
Vou ser tipo Paola Bracho, muito usurpadora
O meu bonde não brinca, só brinda
Não briga, mas implica se você tentar
Me vê, parece até um vulto
Apareço e sumo em todo lugar
Ai, caralho, ai, calica, eu adoro essa vida
Sobe nota, me atiça, sobe nota, me atiça
Ai, caralho, ai, calica, eu adoro essa vida
Sobe nota, me atiça, sobe nota, me atiça
Ai, caralho, ai, calica, eu adoro essa vida
Sobe nota, me atiça, sobe nota, me atiça
Ai, caralho, ai, calica, eu adoro essa vida
Sobe nota, me atiça, sobe nota, me atiça",Trapperz Brasil
bb!,Xamuel,2024,Trap,"Punhal de fibra rosa e o vestido todo azul
Vinho argentino que busquei no sul
Ela é viciada em cores
Minha Maserati é verde limão
Somei 2 e 2 chamei pro abate ela disse não
Não fodo com bitch cor de palmito
Ela só quer andar de mão dadas pra ter um namorado rico
Boom! Ela só quer fuder comigo
Quer ser aposentada e ter um filho bonito

Bebê me liga mais tarde se quer fu, hmm
Escondo os flagrantes vidro fumê
Não toca na bag ela da Gucci
Tanto álcool no copo vai explodir
Blunt é bombom uma taça de Campari com a marca de batom
Tem tanto bumbum parece pom pom
Xamu cê é o wallpaper do meu telefone
Bê bê bê bebê, me liga mais tarde se quer fu, hmm

Escondo os flagrantes vidro fumê
Não toca na bag ela é da Gucci
Tanto álcool no copo vai explodir
Essas menina safadinha, elas curte Kevin rose
Só fuma bonsai no Instagram tem várias pose
Essa bitch branca foi o Xamuel que trouxe
Baby usa Versace combina com a unha purple
Tô adquirindo outros métodos são complexo
Seu índole é bom, só que as rimas são sem nexo

Ela quer dinheiro e tá me pedindo sexo
Apagar seu fogo, preciso de um extintor
Lobo guará não foi extinto, tá na minha bag eu fiquei rico
Ela tá querendo o cachimbo do popeye
Só sequência tapa nesse teu popo bonito
Lobo guará que foi extinto olha minha bag eu fiquei rico
Ela tá querendo o cachimbo do popeye
Só sequência tapa nesse teu popo bonito
Bebê me liga mais tarde se quer fud-hmm

Escondo os flagrantes vidro fumê
Não toca na bag ela é da Gucci
Tanto álcool no copo vai explodir
Bê me liga mais tarde se quer fu, hm
Escondo os flagrantes vidro fumê
Não toca na bag ela é da Gucci
Tanto álcool no copo vai explodir

Ela quer subir na garupa, tampando a placa
Raspa a bunda, vários dedo entrando em ação
Não me senti daricando
Dando fuga gatona quer vários pulo não pega não
Enquanto ela faz um blowjob
Seu hobby, recebo uma ligação
É que se a cunhada descobre brota no ódio
Só ela é dona do meu coração
Então passeia, calma blogueirinha não fica de cara feia
Eu sei que a cunhada minha peça manuseia
Nunca erra a mira sempre acertar na véia
(Pow pow) então passeia calma blogueirinha
Não fica de cara feia

Eu sei que a cunhada minha peça manuseia
Nunca erra mira sempre acertar na véia
Bebê me liga mais tarde se quer fu-hm
Escondo os flagrantes vidro fumê
Não toca na bag ela é da Gucci
Tanto álcool no copo vai explodir

Bebê me liga mais tarde se que fu, hm
Esconde os flagrantes vidro é fumê
Não toca na bag ela é da Gucci
Tanto álcool no copo vai explodir",Trapperz Brasil
Qual é seu desejo?,Tz da Coronel,2024,Trap,"(Nagalli, he send me the magic)

Vadia, traz essa grana que veio do fecho (ahn, do fecho)
Vadia, qual é a magia que tem no seu beijo? (Ah)
Fala comigo, vadia, qual é seu desejo? (Yeah, yeah)
Já vi essa cena na vida e nem foi déjà vu

Tenho esse cash no bolso (ahn, ahn, ahn)
O que seria do dia azul
Se não tivesse um dia chuvoso? (Dia, dia chuvoso, chove)
Vai na fé, tô na fé (vai)
É questão de honra, né? (Questão de honra)
Nós te assombra igual Bruxa de Blair (yeah, igual bruxa)
Nós tá vendo de onde eles vier

Mano, essa porra de cash tá sempre causando discórdia
Mano, essa porra de cash
tá sempre caindo no caixa da gang, yeah
Mano, isso não é um teste
isso é a vida de prova, os amigo mantêm, yeah
Jogando o quê? Jogando a vibe
ela sempre pergunta da onde isso vem (vibe, yeah)
Vê a fumaça subindo
ela sabe que quem tá passando é o trem, yeah

Bem-me-quer, malmequer
Quem tem boca fala o que quiser (o que quiser, o quê?)
Pra ganhar uma atenção qualquer (yeah, pra ganhar)
Pra ganhar a atenção de uma mulher (yeah, de uma)
Sabe o tipo que esses mano é (ahn, ahn)

Vadia, traz essa grana que veio do fecho (ahn, do fecho)
Vadia, qual é a magia que tem no seu beijo? (Ah)
Fala comigo, vadia, qual é seu desejo? (Yeah, yeah, yeah)
Fala comigo, vadia, qual é seu?

Ei, Nagalli (yeah, yeah)
Põe um pouco mais de grave (grave)
Põe um pouco mais de hash na cuia pra eu chapar
Mais um pouco dessa bala (bala) pra ver se eu vou acordar
Toda fumaça do meu pulmão jogo pro ar
Cash vou jogar pra cima
Ela, Louboutin no salto
Preta no pique da Iza
Não vou manchar, depois marchar
É assim, diamante no meu dedo mindinho
Sempre travado, mano, tenho a milim
Né ficção, nego, não é gibi
Pego a Gucci do cabidin
Ah, me exibi, a BM faz bibi
Ela goza e quer mimir
O desejo dela é esse

Vadia, traz essa grana que veio do fecho (ahn)
Vadia, qual é a magia que tem no seu beijo? (Ah)
Fala comigo, vadia, qual é seu desejo? Yeah, yeah
Fala comigo, vadia, qual é seu desejo?
Qual é o seu desejo?

Tz da Coro, hah",Trapperz Brasil
Olho no Olho,CJota,2024,Trap,"Vou te buscar às dez, fica pronta
Bota o seu melhor batom, sua melhor roupa
Eu não te jurei amor nem confiança
Só quero te ver pelada na minha cama
De calcinha de renda
Ela rebola em frente ao espelho
Faz pose igual modelo
Na intenção de Entrar
na cabeça do maloqueiro
Eu me apaixonei no beijo
Olho no olho, pele na pele
Ela quer fuder na onda

Fumando um beck
ela quer, quer toda hora
06 é a suíte
Mistura de Putaria com paixão
Vou te buscar às 10, fica pronta
Bota o seu melhor batom, sua melhor roupa
Não te jurei amor nem confiança
Só quero te ver pelada na minha
Oh Ph!
Na minha cama nois dissolve
Ela é insaciável, vem pra cima e já me morde
Eu Te olho e me sacode, eu briso tanto em você
Pensando tanto em fuder
É que depois da primeira vez
Ficou tão difícil pra controlar
Não sei o feitiço que ela fez
Mas fez algo pra me amarrar
Corpo no corpo, tete a téte
Ela quer fuder num Honda
No drive do Mc, ela quer
Quer toda hora
Não demora pra se arrumar
Fica pronta que eu vou passar pra te buscar",Trapperz Brasil
DELINEADO,Nagalli,2024,Trap,"Uh-yeah, uh-yeah, uh-yeah
(Nagalli, he sent me the magic)
Veigh, baby, uh-uh, ahn, ahn-ahn

Arruma o cabelo, coloca sua melhor lingerie
Que essa pussy hoje vai sentir minha boca
Já sei muito sobre você, então permita-me falar de mim
E ó que eu nem sou muito dessas coisas
Primeiramente, cê tá mó gata com esse seu delineado (Uh, yeah, yeah-yeah, ahn)
Repara que eu não consigo falar de mim, quando cê tá perto
Sе tá errada, vira o olho, e pra ela, isso tá cеrto
E no meio desse problema, eu já pulei de peito aberto
E eu já sei o nome dela (Uh, yeah-yeah)

Sei o que ela quer e sei aonde ela encosta
No baile da minha quebrada (Quem diria?)
Sempre na picadilha e troca uns papo daora (Ei, ahn)
No fim da noite, é lógico
Que eu vou fingir que eu esbarrei nela de propósito
Qua-quando esse bunda passa, prende minha visão (Oh-oh)
Gingado desse seu corpo chamando atenção
E com essa postura parece uma atriz de cinema
Passa horas no espelho, garota, eu sei que
Sempre atrasa pra me ver, quer que fique perfeita a make
Eu sei que ela quer fuder, quando a lingerie combina
Rebola igual bambolê, jogando a perna por cima
Eu não converso sobre problemas, eu resolvo (Uhum)
Sempre evito dar munição pra invejoso
Que-que ideia é essa, nega, que eu tô te trocando?
Meu bloco de nota é a conversa que eu mais respondo
Me liga chorando, cê não me conheceu santo
Sendo assim, cê não pode tá jogando na minha cara
Me chama de sonso, puto e rancoroso
Só que no final, seu lance sempre termina lá em casa (Caio!)

Baby, eu não sei como te explicar
Mas eu fumo só pra amenizar (Eu)
Minhas noites vão, e eu nem vejo passar (Não vejo)
No porte, eu seguro meu AK
Pra te proteger desses cuzão (Yeah, yeah)
Eu juro, eu não vou largar sua mão (Não vou)
Me dói só de pensar nós separado (Separado)
Mas não tem como mudar, sou todo errado
No fim da noite, é lógico (Yeah)
Você me chupando na BM, me chama de amor (Oh, yeah)
Já tô viciado nesse seu rabão
Tu descendo enquanto sobe o balão
Amor, esse seu jeito, seu beijo
Todo seu corpo (Seu corpo), sua chama (Sua chama)
Mente pá mim, fala que me ama
Mente pá mim, mas tu não me engana

Arruma o cabelo, coloca sua melhor lingerie
Que essa pussy hoje vai sentir minha boca
Já sei muito sobre você, então permita-me falar de mim
E ó que eu nem sou muito dessas coisas
Primeiramente, cê tá mó gata com esse seu delineado (Uh, yeah, yeah-yeah, ahn)
Repara que eu não consigo falar de mim, quando cê tá perto
Se tá errada, vira o olho, e pra ela, isso tá certo
E no meio desse problema, eu já pulei de peito aberto
E eu já sei o nome dela (Uh, yeah-yeah)

Veigh, baby, uh-uh, ahn, ahn-ahn",Trapperz Brasil
Honey Babe,Matuê,2024,Trap,"Nesse corre eu quase perco minha alma
Tive que manter a calma
Bagulho é ficar ligeiro nas área
Nego morrendo por nada
Meus manos são cangaceiro da praia
Te coloco na vala
Te chapo só com o cheiro da baga
Te derrubo igual bala

Manin basta só uma palavra
Eu não atiro por nada
Sozinho na minha caminhada
E eu to vencendo a batalha
De mim eles procuram a falha
Eu não me entrego por nada
Assim, eu sigo a minha jornada

(Gang)

Sozinho, eu tava preso na vala
Tive que achar um jeito pra poder sair
Carrego o cera na mala
Eu ja passei com as parada nem fiz o check-in
Honey Money
Nós quer money money
Essa babe quer meu money
Ela quer money money
Vivencia rapida pra pra desfrutar
Sentindo o cheiro de ervas no ar (Exo)
Ela quer money money
Ela quer money money
Essa babe quer meu money

Tô na atividade
Ela quer me distrair mais tarde
Não foi divida
Ela quer pagar na vontade
(Não é money, não é money)

Ninguém ta puro não
Nós controla a cidade
Me pega na contramão
To na velocidade
Com a minha honey babe
Com a minha honey babe

(Bolo um back bom

Ó os muleke do Nordeste na lambo han
Fumando Boldo do bom
Ó os muleke do Nordeste na lambo han
Acumulando milhão
Olha o drip dos pivete malandro han
Olha os muleke do Nordeste na lambo han
Acumulando milhão",Trapperz Brasil
Get It,Yunk Vino,2024,Trap,"Ei, cheek, what' you doin'

Com duas eu já tô no modo
Fudidos sempre incomodo
Contando logo que acordo
Acumulando um monopólio
Depois que assinar eu estouro
Sei que queriam meu pódio
Hold on, wait, who? Quem?

Tentar pular, tô com a gang igual
O michael em beat it, who's bad
Ela se sente em sincity
Corrente Chanel ou Givenchy
Passei rasgando esse civic
Bolso da calça, bricks oh, bricks
Oh, bricks oh, bricks oh, bricks oh, bricks
Oh, bricks ele mente, isso aí é só
Aue coloca o pussyboy pra correr

Fala mais do que dá pra entender
Triste, triste, triste (uh, uuh)
Ahn, Bang Bang, tipo faroeste (faroeste)
Não me apressa, sabe, ela desce
Tá pra sex, mostra bunda, ela mexe
Pela sexta, não picko certo

Descarrega essa placa de hash
Fecha a boca, é só o que eu peço
Isso é um conselho pra não virar reza
Não vira (oh)

Com duas eu já tô no modo
Fudidos sempre incomodo
Contando logo que acordo
Acumulando um monopólio
Depois que assinar eu estouro
Sei que queriam meu pódio
Hold on, wait, who? Quem?

Tentar pular, tô com a gang igual
O michael em beat it, who's bad
Ela se sente em sincity
Corrente Chanel ou Givenchy
Passei rasgando esse civic
Bolso da calça, bricks oh, bricks
Oh, bricks oh, bricks oh, bricks oh, bricks
Oh, bricks ele mente, isso aí é só
Aue coloca o pussyboy pra correr

Fala mais do que dá pra entender
Triste, triste, triste (uh, uuh)",Trapperz Brasil
Loucura,Borges,2023,Trap,"(Fica jogando indireta no Twitter não, pô)
(Pelo amor de Deus)
(Me inspirei na Alcione pra fazer essa daqui pra ela)

(Ha-ha-ha, Borges)

Faz uma loucura por mim
Fala que ninguém te pega igual o teu nego
Coloco tanta grife no teu corpo
Sou tão carinhoso e tão longe de apego
Eu sou bipolar, uso prata e ouro
Lacoste, Versace, Armani e Hugo
Ela com a bunda da Kylie, com a boca da Pocah
Vestido da Armani, bolsa Vitor Hugo

Quantas danadas que te copiaram
Mas nenhuma delas chegou aos seus pés
Só não reclama muito do que eu faço
Mesmo você sendo a camisa 10
Tenho mais dinheiro do que tu imagina
Poder e respeito e uma lenda viva
Meu lifestyle é tenso demais
Mas deixa que isso eu falo outro dia

Faz uma loucura por mim
Fala que ninguém te pega igual o teu nego
Coloco tanta grife no teu corpo
Sou tão carinhoso e tão longe de apego

Faz uma loucura por mim
Assiste o jogo do meu time mesmo sem cê torcer por ele
Divulga nosso lance em tudo
Tatua a porra da minha inicial na sua pele
Faz uma loucura por mim
Todos os mano que te dá ideia, para de seguir (foda-se)
Gosto de ser único, desculpa, é meu jeito
Mas foi você que quis assim

Cê tem que entender, tem que admitir (admitir)
Que nenhum desses caras fez como eu fiz (como eu fiz)
É só me dizer alguém que tá sempre ao seu dispor
Por um segundo de amor, ooh
Garota, me diz alguém que você já pediu favor
E até beck bolado eu já te trouxe

Oh, fé
Cabelinho na voz
Passa nada e nem pode

Faz uma loucura por mim
Promete pra mim que não quer mais ninguém
Será que ela diz a verdade? (Será?)
Te juro que preta igual ela não tem (igual ela não tem)
Ela pelada eu não vejo defeito
Responde essa pergunta pro seu preto
Será que você faz uma loucura por mim? (Será?)

Tipo trocar tiro com a polícia
Nossos nomes em todas as notícias
Será que ela daria a vida por mim?
Porque se eu morrer, tu tem que ir até o fim
Tem que me vingar e botar a bala pra comer
Descarregar o pentão de 100 mesmo chorando por mim
Isso sim que é uma loucura de amor

E, se os cana me prender, vou aguardar tu vir
Vir me visitar, se eu ligar tem que atender
Quero ver se ela mantém o que prometeu pra mim
Isso sim que é uma loucura de amor

Faz uma loucura por mim
Fala que ninguém te pega igual o teu nego
Coloco tanta grife no teu corpo
Sou tão carinhoso e tão longe de apego
Eu sou bipolar, uso prata e ouro
Lacoste, Versace, Armani e Hugo
Ela com a bunda da Kylie, com a boca da Pocah
Vestido da Armani, bolsa Vitor Hugo",Trapperz Brasil
Baddie,BIN,2024,Trap,"Já tem um tempo
Eu tô sem sentimento
Fumaçando contra o vento
Quando a onda bate, ela me pede
Joga tudo dentro

Deixa eu ver seus movimentos
Sei que tu tá aprendendo
Empina e me olha, tu é minha baddie
Empurro fundo mesmo

Fodendo a bitch no talento
Ela quer o sexo violento
Empina e rebola pra minha gang
Mas é sem sentimento

Todo momento, eu sou momento
A MacLaren rasga o vento
Se minha vida é assim
Imagina o sonho que eu tenho

Na pista, elas tá com saudade
Elas me pede tudo dentro
Manda video bomba pelada
Dentro do apartamento

Nós 'tamo' aqui pra ser lembrado
Eles só vão ficar de exemplo
Mainstreet girando mais do que o tigrinho
Nós é o momento

Melhor tu olhar bem quem confia
Vou comer todas suas amigas
Bate neurose porque não pode me cobrar
Nunca devia ter deixado a putaria

Já tem um tempo
Eu tô sem sentimento
Fumaçando contra o vento
Quando a onda bate, ela me pede
Joga tudo dentro

Deixa eu ver seus movimentos
Sei que tu tá aprendendo
Empina e me olha, tu é minha baddie
Empurro fundo mesmo

Telefone toca, porra, altas horas
Mas eu não te atendo
Essas neurose fudeu meu pensamento
E agora eu tô vivendo

Desde menor, nós que marola mesmo
Comprei um Corvette sem teto
Vê nós passando na orla
Piranha quer tá aqui dentro

Eu não sei porque essa mina me achou daora
Deve ser porque nós é favelado e anda na moda
E se pá, é o meu jeito que nós desenrola
Só te dei uns papo e tu tá na minha casa

Nós é o casal mais foda dessa cena
E várias delas estão com inveja
Você sem forçar, garota, rouba a cena
Você é tão linda, minha Cinderela

Já tem um tempo
Eu tô sem sentimento
Fumaçando contra o vento
Quando a onda bate, ela me pede
Joga tudo dentro

Deixa eu ver seus movimentos
Sei que tu tá aprendendo
Empina e me olha, tu é minha baddie
Empurro fundo mesmo",Trapperz Brasil
GLOCK DE COR,Alee,2024,Trap,"Yeah, yeah, eu só (what?)
Hã? Só (hahaha)
Caos (oh-oh)

E eu, e eu nem vou
Dentro da bolsa tem uma Glock de cor
Lean, traz mais lean
Que me deixou em slow
Essas coisas eu nem vejo
Esses nêgo nem ouço

(Ahn?)
Nêga só confia
E ela é sem bes- (tss, tss) -teira me'mo
Por isso aciono a bia
Fala se é putaria
Gostaria, mas tem grana a fazer
Duas cavalona no colinho do meu mano d (ai meu Deus)
Ele era trap, agora é pop
Ahn, nêgo, fumaça tipo o bob
Se eu me junto com o mano d
É sеu mano lê
Vou cobrar porcentagem (ah-ah)
Ahn, sarará crioulo, vai não brinca
É o sarará crioulo
Bam-balança

Sarará crioulo (aham)
No meu pescoço eu joguei ouro (ah)
Esse otário nunca fez trap (hum)
Junto com o lê eu sempre dei aula
Yeah, abracadabra, bitch
Abra essa perna que lá vai vara
Ele travou meus royalties, ele é falido
Precisa de grana, ele só anda liso (hahaha)
Caos, fala mais baixo que eu sou patrão, neguin
Ahn, amiri no meu jeans
Yeah, quatro copo de lean (ah)
Eu sei que eu sou o mais foda
Mas por que cês me copia tanto assim? (ah)
Se o h pular na frente, eu aniquilo (prr-prr-prr)
Meu cordão mais longo que o rio nilo (ah-ah-ah)

E-eu, eu nem vou
Dentro da bolsa tem uma Glock de cor
Lean, traz mais lean
Que me deixou em slow
Esses nêgo eu nem vejo
Esses mano' eu nem ouço (ai, ai, ai)
Yeah sir, e eu nem vou
Dentro da bolsa tem uma Glock de cor
Lean, traz mais lean
Que me deixou em slow
Esses nêgo eu nem vejo
Esses mano eu nem ouço
Caos!",Trapperz Brasil
Ponto Final,MC Caverinha,2024,Trap,"Ô, fé

Quando deito na minha cama
Vem você na mente
Quando deito na minha cama
Eu penso na gente
E sonho, sonho (sonho)
Porque do seu lado
O tempo passa rápido, rápido (amor)
Cada momento é magico, magico
Brigas sei que é normal, brigas, brigas
Mas meu sentimento é real, é real (é real)
Nada do que eu passei antes
Eu quero passar de novo
Adquiri experiência
Deixei mais forte o meu lado sentimental
até a neurose da minha mente
Eu dominei e coloquei um ponto final

Por favor fica
Fica comigo amor
Esquеcê as brigas
Esquece еsses caô
Por favor fica
Fica comigo amor
Esquece as brigas
Esquece esses caô

É impossível esquecer daquela mina, oh, yeah
Meus sentimentos calejado me fez refletir
Não cai no papin desses cara que é tudo migué
E nenhum deles vai fazer do jeitinho que eu fiz
A gente briga e volta toda hora
Bate sempre a mesma tecla
Tô aguardando uma resposta, seja sincera
Pra todas nossas brigas, um ponto final
Pra todas minhas neuroses, um ponto final
Pra todas nossas brigas, um ponto final
Um ponto final

Por favor fica
Fica comigo amor
Esquece as brigas
Esquece esses caô
Por favor fica
Fica comigo amor
Esquece as brigas
Esquece esses caô",Trapperz Brasil
Foto da Unha,L7NNON,2023,Trap,"Gosto qunado ela me manda foto da unha
Ela gosta quando eu mando foto do corte (na régua)
Debochada e gosta de aventura (ela é debochada)
Disse que meu traje combina com suporte

Bolsa da Louis Vitton (fala)
Perfume da Chanel
Casaquinho da Dior
Ela quer me ouvir dizendo: Todo seu
Christian Louboutin
Bota da Bottega
Yves Saint Laurent
Cheiro dela, eu fico de bobeira

Contando nota, fazendo barulho
Com ela me olhando acho que eu me sinto em outro lugar
Site de fofoca tem meu nome em tudo
Se nós quer nós compra, hoje não precisa mais alugar

Ela vai no salão, ela volta na bala
Meu nome no cordão
Pega a postura dela, eu fico de cara
Sem limite o cartão
Esse não nega nada
Papo de visão, hoje é vida cara
Fala

Gosto qunado ela me manda foto da unha
Ela gosta quando eu mando foto do corte (na régua)
Debochada e gosta de aventura (ela é debochada)
Disse que meu traje combina com suporte

(Veigh, baby uh)
Louis Vitton, Versace ou Christian Dior (Dior)
Só escolher, cê vai levar sem ver o valor (sem ver o valor)
Já fez a unha, quer que eu escolha a cor
Rosa, morena vem pra cá que hoje cê vai ter

Era só o que me faltava
Essa gata com marra
Fazendo fotinha no espelho, com a unha decorada
Não sei se é bailarina, amendoada ou stiletto
Ó que morena jogada
Eu falei que não ia pro baile, ela foi assim mesmo
Vestido curto e colado, pulseira no braço
E deu um talentinho no cabelo
Se não é no baile, é no samba
Peço um quatro, ela me arranha (ai, preta)

No fundo os pandeiro quando ela balança
E no ritmo dessa dança
Dinheiro de otário é lazer pra malandra
Compra um whisky e já acha que banca
Por isso é com nós que ela volta pra casa

Gosto qunado ela me manda foto da unha
Ela gosta quando eu mando foto do corte (na régua)
Debochada e gosta de aventura (ela é debochada)
Disse que meu traje combina com suporte

Gosto qunado ela me manda foto da unha
Ela gosta quando eu mando foto do corte (na régua)
Debochada e gosta de aventura (ela é debochada)
Disse que meu traje combina com suporte",Trapperz Brasil
Tropa do Flamengo,Chefin,2024,Trap,"(LB Único produziu, deu boa deu,tá)
Pow
Vários falando que eu fiquei marrento com a porra da fama
Eu vim de baixo e eu não me iludo com grana e ouro
Os que fala de mim tá com a bunda deitada na cama
Já se passou vários ano e o mesmo faz nada pra sair da lama
O bipé montado pelo alto e olha o pequeno fechando o quadrado
Chegou a hora do julgamento, vamo ver se tu tá errado
Várias Glock de pente alongado, pega a visão que tá tudo minado
E o papo do mano é um só, melhor deixar tudo fechado

A rajada de 30 ouve esse eco
Parece baile funk, tudo tremendo
Os menor troca tiro no meio da rua gritando: É a Tropa do Flamengo
De Velar blindada, mudei o vento
Ela quer se perder com o trem do pequeno
Cheio de ouro igual faraó
Nós é o cara do momento

Menor, então olha po teto, ah
Vê se eu não tô dentro, ah
Vários falando de mim pela net
Acho que chegou o momento
Foda-se o hype, eu não rendo, se esconde pelo apartamento
Só pela fala que eu uso e a roupa que eu porto, elas fala que eu sou nojento
Vários traíram minha confiança e caiu, deixaram seu rastro de cobra
Aquele ditado: É certo que mula só anda com mula, não perca a sua honra
Quantos erraram? Então rala da fila
Anda reto, só não deixa na reta
Quem traiu vai pagar porque cê sabe que, lá na frente, a cobrança é severa
E eu tenho um pente de ouro guardado na mala do carro, derrubo o safado
Essa bunda é enorme, a garota jogando com marra a porra dessa buceta cara
A minha vó tá maluca apontando essa doze dourada que cospe mais bala de aço
Eu chego pisando essa porta com a Tropa e acabo com toda essa palhaçada, é o C

A rajada de 30 ouve esse eco
Parece baile funk, tudo tremendo
Os menor troca tiro no meio da rua, gritando: É a Tropa do Flamengo
De Velar blindada, mudei o vento
Ela quer se perder com o trem do pequeno
Cheio de ouro igual faraó
Nós é o cara do momento

A rajada de 30 ouve esse eco
Parece baile funk, tudo tremendo
Os menor troca tiro no meio da rua, gritando: É a Tropa do Flamengo
De Velar blindada, mudei o vento
Ela quer se perder com o trem do pequeno
Cheio de ouro igual faraó
Nós é o cara do momento",Trapperz Brasil
